Test Case,V,Elapsed Time,Satisfiability,Validity
1,4,2.8848648071289062e-05,Satisfiable,Valid
2,4,2.9802322387695312e-05,Unsatisfiable,Invalid
3,4,1.621246337890625e-05,Satisfiable,Valid
4,4,1.0967254638671875e-05,Satisfiable,Valid
5,4,2.0265579223632812e-05,Unsatisfiable,Invalid
6,4,1.5020370483398438e-05,Unsatisfiable,Invalid
7,4,1.7881393432617188e-05,Unsatisfiable,Invalid
8,4,1.0013580322265625e-05,Satisfiable,Valid
9,4,1.1920928955078125e-05,Satisfiable,Valid
10,4,1.0013580322265625e-05,Satisfiable,Valid
11,8,5.1975250244140625e-05,Satisfiable,Valid
12,8,3.910064697265625e-05,Satisfiable,Valid
13,8,4.887580871582031e-05,Satisfiable,Valid
14,8,7.295608520507812e-05,Unsatisfiable,Invalid
15,8,4.8160552978515625e-05,Unsatisfiable,Invalid
16,8,4.8160552978515625e-05,Unsatisfiable,Invalid
17,8,4.887580871582031e-05,Unsatisfiable,Invalid
18,8,4.100799560546875e-05,Satisfiable,Valid
19,8,3.5762786865234375e-05,Satisfiable,Valid
20,8,4.100799560546875e-05,Unsatisfiable,Invalid
21,12,7.104873657226562e-05,Unsatisfiable,Invalid
22,12,6.914138793945312e-05,Satisfiable,Valid
23,12,4.100799560546875e-05,Satisfiable,Valid
24,12,4.506111145019531e-05,Satisfiable,Valid
25,12,4.8160552978515625e-05,Satisfiable,Valid
26,12,6.29425048828125e-05,Satisfiable,Valid
27,12,7.486343383789062e-05,Unsatisfiable,Invalid
28,12,7.987022399902344e-05,Unsatisfiable,Invalid
29,12,6.29425048828125e-05,Unsatisfiable,Invalid
30,12,5.91278076171875e-05,Unsatisfiable,Invalid
31,16,9.989738464355469e-05,Satisfiable,Valid
32,16,0.00013208389282226562,Unsatisfiable,Invalid
33,16,0.00010800361633300781,Satisfiable,Valid
34,16,9.608268737792969e-05,Satisfiable,Valid
35,16,0.00020503997802734375,Unsatisfiable,Invalid
36,16,0.00010919570922851562,Satisfiable,Valid
37,16,0.00014901161193847656,Unsatisfiable,Invalid
38,16,0.00013780593872070312,Satisfiable,Valid
39,16,0.0001347064971923828,Unsatisfiable,Invalid
40,16,9.703636169433594e-05,Satisfiable,Valid
41,18,0.00013399124145507812,Unsatisfiable,Invalid
42,18,0.0001499652862548828,Unsatisfiable,Invalid
43,18,0.00015091896057128906,Unsatisfiable,Invalid
44,18,0.00017189979553222656,Satisfiable,Valid
45,18,0.0001499652862548828,Unsatisfiable,Invalid
46,18,0.0001506805419921875,Satisfiable,Valid
47,18,9.822845458984375e-05,Satisfiable,Valid
48,18,0.00013709068298339844,Unsatisfiable,Invalid
49,18,0.00011301040649414062,Satisfiable,Valid
50,18,0.00011587142944335938,Unsatisfiable,Invalid
51,20,0.00013685226440429688,Unsatisfiable,Invalid
52,20,0.0001461505889892578,Satisfiable,Valid
53,20,0.00014901161193847656,Satisfiable,Valid
54,20,0.00010609626770019531,Satisfiable,Valid
55,20,0.00013113021850585938,Unsatisfiable,Invalid
56,20,0.0001690387725830078,Unsatisfiable,Invalid
57,20,0.0001609325408935547,Unsatisfiable,Invalid
58,20,0.00022292137145996094,Satisfiable,Valid
59,20,0.00017523765563964844,Unsatisfiable,Invalid
60,20,0.00013399124145507812,Unsatisfiable,Invalid
61,22,0.00016999244689941406,Satisfiable,Valid
62,22,0.00015592575073242188,Satisfiable,Valid
63,22,0.0002720355987548828,Unsatisfiable,Invalid
64,22,0.00016999244689941406,Satisfiable,Valid
65,22,0.0001251697540283203,Satisfiable,Valid
66,22,0.0001327991485595703,Satisfiable,Valid
67,22,0.00023794174194335938,Unsatisfiable,Invalid
68,22,0.00016880035400390625,Unsatisfiable,Invalid
69,22,0.0002009868621826172,Satisfiable,Valid
70,22,0.0001800060272216797,Unsatisfiable,Invalid
71,24,0.0002970695495605469,Unsatisfiable,Invalid
72,24,0.00016427040100097656,Satisfiable,Valid
73,24,0.0001709461212158203,Satisfiable,Valid
74,24,0.0002753734588623047,Unsatisfiable,Invalid
75,24,0.000244140625,Unsatisfiable,Invalid
76,24,0.00021910667419433594,Unsatisfiable,Invalid
77,24,0.00015997886657714844,Satisfiable,Valid
78,24,0.00020694732666015625,Unsatisfiable,Invalid
79,24,0.0002148151397705078,Satisfiable,Valid
80,24,0.00015687942504882812,Satisfiable,Valid
81,26,0.00024175643920898438,Unsatisfiable,Invalid
82,26,0.00024318695068359375,Satisfiable,Valid
83,26,0.00025177001953125,Unsatisfiable,Invalid
84,26,0.00025010108947753906,Unsatisfiable,Invalid
85,26,0.00021505355834960938,Unsatisfiable,Invalid
86,26,0.00022077560424804688,Unsatisfiable,Invalid
87,26,0.0002830028533935547,Satisfiable,Valid
88,26,0.0002589225769042969,Satisfiable,Valid
89,26,0.00021195411682128906,Unsatisfiable,Invalid
90,26,0.0001652240753173828,Satisfiable,Valid
91,28,0.0003159046173095703,Unsatisfiable,Invalid
92,28,0.0003662109375,Satisfiable,Valid
93,28,0.0002372264862060547,Unsatisfiable,Invalid
94,28,0.0002732276916503906,Unsatisfiable,Invalid
95,28,0.00023984909057617188,Unsatisfiable,Invalid
96,28,0.0002689361572265625,Satisfiable,Valid
97,28,0.00020503997802734375,Satisfiable,Valid
98,28,0.0001850128173828125,Satisfiable,Valid
99,28,0.00026106834411621094,Unsatisfiable,Invalid
100,28,0.00023984909057617188,Satisfiable,Valid
